observationcode,obs_value,observationstatus,data_source
444,97.4,Adjusted,"DHS 2017-18"
445,99.5,Adjusted,"MICS 2015"
446,99.6,Adjusted,"MICS 2015"
447,85.4,Adjusted,"DHS 2014"
448,86.5,Adjusted,"DHS 2014"
449,84.3,Adjusted,"DHS 2014"
450,83,Adjusted,"Census of Population and Housing 2010"
451,84.7,Adjusted,"Census of Population and Housing 2010"
452,86.6,Adjusted,"Census of Population and Housing 2010"
453,98.7,Adjusted,"MICS 2018"
454,89.4,Adjusted,"MICS 2017"
455,89.6,Adjusted,"MICS 2017"
456,89.9,Adjusted,"MICS 2017"
457,97.2,Adjusted,"MICS 2018"
458,96.6,Adjusted,"MICS 2018"
459,96,Adjusted,"MICS 2018"
460,42.7,Adjusted,"DHS 2013"
461,43.5,Adjusted,"DHS 2013"
462,42,Adjusted,"DHS 2013"
463,73.5,Adjusted,"MICS 2018"
464,78.7,Adjusted,"MICS 2018"
465,76.1,Adjusted,"MICS 2018"
466,94.5,Adjusted,"DHS 2015-16"
467,93,Adjusted,"DHS 2015-16"
468,93.7,Adjusted,"DHS 2015-16"
469,94.8,Adjusted,"DHS 2016-17"
470,94.6,Adjusted,"DHS 2016-17"
471,95,Adjusted,"DHS 2016-17"
472,51.2,Adjusted,"MICS 2015"
473,54.9,Adjusted,"MICS 2015"
474,53.1,Adjusted,"MICS 2015"
475,57.4,Adjusted,"MICS 2015"
476,61.5,Adjusted,"MICS 2015"
477,59.5,Adjusted,"MICS 2015"
478,98.8,Adjusted,"ENIGH 2018"
479,97,Adjusted,"MICS 2018"
480,96.1,Adjusted,"MICS 2018"
481,95.1,Adjusted,"MICS 2018"
482,97.8,Adjusted,"MICS 2013"
483,97.9,Adjusted,"MICS 2013"
484,71.5,Adjusted,"DHS 2011"
485,71.7,Adjusted,"DHS 2011"
486,71.3,Adjusted,"DHS 2011"
487,92.8,Adjusted,"DHS 2015-16"
488,93.4,Adjusted,"DHS 2015-16"
489,92.3,Adjusted,"DHS 2015-16"
490,91.5,Adjusted,"DHS 2013"
491,93.1,Adjusted,"DHS 2013"
492,92.3,Adjusted,"DHS 2013"
493,97.3,Adjusted,"Population and Housing Census 2011"
494,96.9,Adjusted,"Population and Housing Census 2011"
495,97.7,Adjusted,"Population and Housing Census 2011"
496,79.7,Adjusted,"DHS 2016"
497,76.9,Adjusted,"DHS 2016"
498,78.3,Adjusted,"DHS 2016"
499,50.4,Adjusted,"DHS 2012"
500,46,Adjusted,"DHS 2012"
501,54.7,Adjusted,"DHS 2012"
502,65.8,Adjusted,"DHS 2018"
503,67.5,Adjusted,"DHS 2018"
504,66.7,Adjusted,"DHS 2018"
