observablecode,countrycode,indicatorcode,observationcode,timecode
352,14,5,342,9
353,15,6,343,11
354,15,5,344,11
355,15,4,344,11
356,16,6,345,12
357,16,4,346,12
358,16,5,347,12
359,17,4,348,12
360,17,6,349,12
361,17,5,350,12
362,18,4,351,9
363,18,5,352,9
364,18,6,353,9
365,19,5,354,13
366,19,6,355,13
367,19,4,356,13
368,20,5,357,14
369,20,6,358,14
370,20,4,359,14
371,105,5,360,9
372,105,5,361,1
373,105,4,360,9
374,105,4,361,1
375,105,6,360,9
376,105,6,361,1
377,21,4,362,1
378,21,5,363,1
379,21,6,364,1
380,22,5,365,6
381,22,6,365,6
382,22,4,365,6
383,23,6,366,13
384,23,4,367,13
385,23,5,368,13
386,24,6,369,7
387,24,5,370,7
388,24,4,371,7
389,26,4,372,15
390,26,6,373,15
391,26,5,374,15
392,27,5,375,14
393,27,6,376,14
394,27,4,375,14
395,28,6,377,16
396,28,4,378,16
397,28,5,379,16
398,106,4,380,6
399,106,6,381,6
400,106,5,382,6
401,29,4,73,12
402,29,5,383,12
403,29,6,384,12
404,30,6,385,5
405,30,5,386,5
406,30,4,387,5
407,31,4,388,12
408,31,5,389,12
409,31,6,390,12
410,32,4,391,12
411,32,6,392,12
412,32,5,393,12
413,107,6,394,9
414,107,5,395,9
415,107,4,396,9
416,33,4,397,12
417,33,5,398,12
418,33,6,399,12
419,34,6,400,15
420,34,5,401,15
421,34,4,402,15
422,35,5,403,6
423,35,6,404,6
424,35,4,405,6
425,36,5,406,10
426,36,4,407,10
427,36,6,408,10
428,37,6,409,10
429,37,4,410,10
430,37,5,411,10
431,38,6,412,12
432,38,4,413,12
433,38,5,413,12
434,39,4,414,13
435,39,6,415,13
436,39,5,416,13
437,40,5,417,15
438,40,4,418,15
439,40,6,419,15
440,41,6,420,12
441,41,4,421,12
442,41,5,421,12
443,42,5,422,12
444,42,4,423,12
445,42,6,424,12
446,43,6,425,11
447,43,5,426,11
448,43,4,124,11
449,44,6,427,12
450,44,5,428,12
451,44,4,429,12
452,45,4,430,3
453,45,6,431,3
454,45,5,432,3
455,46,6,433,1
456,46,5,433,1
457,46,4,433,1
458,108,6,434,19
459,108,4,435,19
460,108,5,436,19
461,47,6,437,10
462,47,4,438,10
463,47,5,439,10
464,48,4,440,7
465,48,6,138,7
466,48,5,441,7
467,49,6,442,8
468,49,5,443,8
469,49,4,444,8
470,50,4,445,1
471,50,5,446,1
472,50,6,445,1
473,51,4,447,12
474,51,6,448,12
475,51,5,449,12
476,109,5,450,9
477,109,4,451,9
478,109,6,452,9
479,52,5,453,10
480,52,4,453,10
481,52,6,453,10
482,53,6,454,14
483,53,4,455,14
484,53,5,456,14
485,54,6,457,10
486,54,4,458,10
487,54,5,459,10
488,55,4,460,17
489,55,6,461,17
490,55,5,462,17
491,56,5,463,10
492,56,6,464,10
493,56,4,465,10
494,57,6,466,3
495,57,5,467,3
496,57,4,468,3
497,58,4,469,11
498,58,6,470,11
499,58,5,471,11
500,59,6,472,1
501,59,5,473,1
502,59,4,474,1
503,60,5,475,1
504,60,6,476,1
505,60,4,477,1
506,61,4,478,10
507,61,6,478,10
508,61,5,478,10
509,62,6,479,10
510,62,4,480,10
511,62,5,481,10
512,63,6,482,17
513,63,4,483,17
514,63,5,483,17
515,64,4,484,7
516,64,6,485,7
517,64,5,486,7
518,65,4,487,3
519,65,5,488,3
520,65,6,489,3
521,66,5,490,17
522,66,6,491,17
523,66,4,492,17
524,110,4,493,7
525,110,5,494,7
526,110,6,495,7
527,67,6,496,15
528,67,5,497,15
529,67,4,498,15
530,68,4,499,6
531,68,6,500,6
532,68,5,501,6
533,69,6,502,10
534,69,5,503,10
535,69,4,504,10
536,111,6,505,7
537,111,4,505,7
538,111,5,505,7
539,70,4,506,7
540,70,6,507,7
541,70,5,508,7
542,112,4,509,12
543,112,6,399,12
544,112,5,424,12
545,71,5,510,8
546,71,4,511,8
547,71,6,512,8
548,72,5,513,17
549,72,4,513,17
550,72,6,513,17
551,73,4,514,14
552,73,6,515,14
553,73,5,514,14
554,74,5,516,12
555,74,6,517,12
556,74,4,518,12
557,75,6,519,14
558,75,4,520,14
559,75,5,521,14
560,76,6,522,6
561,76,4,523,6
562,76,5,524,6
563,77,4,525,6
564,77,6,526,6
565,77,5,319,6
566,113,6,527,3
567,113,5,528,3
568,113,4,529,3
569,78,4,530,13
570,78,5,531,13
571,78,6,532,13
572,79,4,320,6
573,79,6,533,6
574,79,5,534,6
575,80,5,535,12
576,80,4,535,12
577,80,6,535,12
578,81,5,536,14
579,81,4,537,14
580,81,6,538,14
581,82,6,539,12
582,82,5,540,12
583,82,4,539,12
584,83,6,541,14
585,83,5,542,14
586,83,4,543,14
587,114,4,544,1
588,114,5,545,1
589,114,6,546,1
590,84,6,547,15
591,84,4,548,15
592,84,5,244,15
593,85,6,549,9
594,85,4,550,9
595,85,5,551,9
596,86,5,539,12
597,86,4,539,12
598,86,6,539,12
599,87,5,232,12
600,87,6,552,12
601,87,4,553,12
602,88,4,458,10
603,88,6,457,10
604,88,5,459,10
605,89,6,554,14
606,89,5,555,14
607,89,4,556,14
608,90,5,557,3
609,90,6,558,3
610,90,4,559,3
611,91,4,560,15
612,91,6,561,15
613,91,5,562,15
614,92,6,563,16
615,92,4,564,16
616,92,5,565,16
617,115,4,566,6
618,115,6,567,6
619,115,5,568,6
620,93,4,569,10
621,93,5,570,10
622,93,6,479,10
623,116,6,571,17
624,116,5,572,17
625,116,4,573,17
626,94,4,574,3
627,94,5,575,3
628,94,6,576,3
629,95,4,577,15
630,95,5,578,15
631,95,6,579,15
632,96,5,318,6
633,96,4,534,6
634,96,6,580,6
635,97,5,581,3
636,97,6,582,3
637,97,4,583,3
638,98,5,584,2
639,98,6,585,2
640,98,4,586,2
641,117,5,587,17
642,117,6,588,17
643,117,4,589,17
644,99,5,71,12
645,99,4,397,12
646,99,6,590,12
647,100,5,591,17
648,100,4,592,17
649,100,6,593,17
650,101,4,378,16
651,101,5,594,16
652,101,6,595,16
653,102,6,596,5
654,102,5,597,5
655,102,4,598,5
656,1,7,599,1
657,1,8,600,1
658,1,9,601,1
659,2,9,602,2
660,2,7,603,2
661,2,8,604,2
662,3,8,605,3
663,3,7,606,3
664,3,9,607,3
665,4,9,608,4
666,4,7,609,4
667,4,8,610,4
668,5,7,611,3
669,5,9,612,3
670,5,8,613,3
671,6,8,614,5
672,6,7,615,5
673,6,9,616,5
674,7,8,617,6
675,7,9,618,6
676,7,7,619,6
677,8,7,620,6
678,8,9,621,6
679,8,8,622,6
680,9,8,623,7
681,9,7,624,7
682,9,9,625,7
683,10,8,626,8
684,10,7,627,8
685,10,9,628,8
686,11,9,629,9
687,11,8,630,9
688,11,7,631,9
689,12,8,632,4
690,12,9,633,4
691,12,7,334,4
692,13,8,634,10
693,13,7,635,10
694,13,9,636,10
695,14,7,637,9
696,14,9,638,9
697,14,8,639,9
698,15,9,640,11
699,15,8,641,11
700,15,7,642,11
701,16,9,643,12
702,16,7,644,12
703,16,8,645,12
704,17,7,646,12
705,17,9,647,12
706,17,8,648,12
707,18,7,649,9
708,18,8,650,9
709,18,9,651,9
710,19,8,652,13
711,19,9,653,13
712,19,7,654,13
713,20,8,655,14
714,20,9,656,14
715,20,7,657,14
716,105,8,658,1
717,105,7,658,1
718,105,9,659,1
719,21,7,660,1
720,21,8,661,1
721,21,9,662,1
722,22,8,663,6
723,22,9,664,6
724,22,7,665,6
725,23,9,666,13
726,23,7,667,13
727,23,8,668,13
728,24,9,669,7
729,24,8,670,7
730,24,7,671,7
731,26,7,672,15
732,26,9,673,15
733,26,8,674,15
734,27,8,675,14
735,27,9,676,14
736,27,7,677,14
737,28,9,678,16
738,28,7,679,16
739,28,8,680,16
740,29,7,681,12
741,29,8,682,12
742,29,9,683,12
743,30,9,684,5
744,30,8,685,5
745,30,7,686,5
746,31,7,687,12
747,31,8,449,12
748,31,9,688,12
749,32,7,689,12
750,32,9,690,12
751,32,8,50,12
752,107,9,691,9
753,107,8,692,9
754,107,7,693,9
755,33,7,694,12
756,33,8,695,12
757,33,9,696,12
758,34,9,697,15
759,34,7,698,15
760,34,8,699,15
761,35,8,700,6
762,35,9,701,6
763,35,7,702,6
764,36,8,703,10
765,36,7,704,10
766,36,9,705,10
767,37,9,459,10
768,37,7,459,10
769,37,8,480,10
770,38,9,706,12
771,38,7,707,12
772,38,8,708,12
773,39,7,709,13
774,39,9,710,13
775,39,8,711,13
776,40,8,712,15
777,40,7,713,15
778,40,9,714,15
779,41,9,715,12
780,41,7,716,12
781,41,8,717,12
782,42,8,718,12
783,42,7,719,12
784,42,9,720,12
785,43,9,721,11
786,43,8,722,11
787,43,7,723,11
788,44,9,724,12
789,44,8,725,12
790,44,7,726,12
791,45,7,727,3
792,45,9,728,3
793,45,8,729,3
794,46,9,730,1
795,46,8,731,1
796,46,7,732,1
797,47,9,733,10
798,47,7,733,10
799,47,8,733,10
800,48,7,734,7
801,48,9,735,7
802,48,8,734,7
803,49,9,736,8
804,49,8,737,8
805,49,7,738,8
806,50,7,739,1
807,50,8,739,1
808,50,9,445,1
809,51,7,740,12
810,51,9,741,12
811,51,8,742,12
812,52,7,569,10
813,52,8,743,10
814,52,9,744,10
815,53,9,745,14
816,53,7,746,14
817,53,8,747,14
818,54,9,748,10
819,54,7,749,10
820,54,8,750,10
821,55,7,751,17
822,55,9,752,17
823,55,8,753,17
824,56,8,754,10
825,56,7,755,10
826,56,9,756,10
827,57,9,607,3
828,57,8,757,3
829,57,7,758,3
830,58,7,759,11
831,58,9,125,11
832,58,8,760,11
833,59,9,761,1
834,59,8,762,1
835,59,7,763,1
836,60,8,764,1
837,60,9,765,1
838,60,7,766,1
839,61,7,767,10
840,61,9,768,10
841,61,8,769,10
842,62,9,770,10
843,62,7,771,10
844,62,8,772,10
845,63,9,773,17
846,63,7,774,17
847,63,8,775,17
848,64,7,776,7
849,64,9,777,7
850,64,8,778,7
851,65,7,283,3
852,65,8,779,3
853,65,9,780,3
854,66,8,781,17
855,66,9,782,17
856,66,7,783,17
857,67,9,784,15
858,67,7,785,15
859,67,8,786,15
860,68,7,787,6
861,68,9,788,6
862,68,8,789,6
863,69,9,790,10
864,69,8,791,10
865,69,7,792,10
866,70,7,793,7
867,70,9,794,7
868,70,8,795,7
869,71,8,796,8
870,71,7,797,8
871,71,9,798,8
872,72,8,799,17
873,72,7,800,17
874,72,9,801,17
875,73,7,802,14
876,73,9,803,14
877,73,8,804,14
878,74,8,805,6
879,74,9,806,6
880,74,7,807,6
881,75,9,808,14
882,75,7,809,14
883,75,8,810,14
884,76,9,811,6
885,76,7,812,6
886,76,8,813,6
887,77,7,814,6
888,77,9,815,6
889,77,8,620,6
890,113,9,816,3
891,113,8,817,3
892,113,7,818,3
893,78,7,819,13
894,78,8,820,13
895,78,9,821,13
896,79,7,323,6
897,79,8,822,6
898,79,9,322,6
899,80,8,823,12
900,80,7,824,12
901,80,9,825,12
902,81,8,826,14
903,81,7,827,14
904,81,9,828,14
905,82,9,829,12
906,82,8,830,12
907,82,7,392,12
908,83,9,831,14
909,83,8,832,14
910,83,7,832,14
911,84,9,833,15
912,84,7,834,15
913,84,8,835,15
914,85,9,836,9
915,85,7,837,9
916,85,8,838,9
917,86,8,839,12
918,86,7,383,12
919,86,9,840,12
920,87,8,841,12
921,87,9,842,12
922,87,7,843,12
923,88,7,844,10
924,88,9,845,10
925,88,8,846,10
926,89,9,847,14
927,89,8,555,14
928,89,7,848,14
929,90,8,849,3
930,90,9,850,3
931,90,7,851,3
932,91,7,852,15
933,91,9,853,15
934,91,8,854,15
935,92,9,855,16
936,92,7,856,16
937,92,8,857,16
938,93,7,858,10
939,93,8,859,10
940,93,9,860,10
941,94,7,861,3
942,94,8,576,3
943,94,9,862,3
944,95,7,863,15
945,95,8,864,15
946,95,9,865,15
947,96,8,866,6
948,96,7,866,6
949,96,9,866,6
950,97,8,867,3
951,97,9,868,3
952,97,7,869,3
953,98,8,870,2
954,98,9,871,2
955,98,7,872,2
956,99,8,873,12
957,99,7,874,12
958,99,9,875,12
959,100,8,876,17
960,100,7,877,17
961,100,9,878,17
962,101,7,879,16
963,101,8,880,16
964,101,9,881,16
965,102,9,882,5
966,102,8,883,5
967,102,7,884,5
968,1,10,885,1
969,1,11,886,1
970,1,12,887,1
971,2,12,888,2
972,2,10,889,2
973,2,11,890,2
974,3,11,891,3
975,3,10,892,3
976,3,12,893,3
977,4,12,894,4
978,4,10,609,4
979,4,11,895,4
980,5,10,896,3
981,5,12,897,3
982,5,11,898,3
983,6,11,899,5
984,6,10,900,5
985,6,12,901,5
986,7,11,902,6
987,7,12,903,6
988,7,10,904,6
989,8,10,218,6
990,8,12,321,6
991,8,11,905,6
992,10,11,906,8
993,10,10,907,8
994,10,12,908,8
995,11,12,909,9
996,11,11,910,9
997,11,10,911,9
998,12,11,912,4
999,12,12,913,4
1000,12,10,914,4
1001,13,11,915,10
1002,13,10,916,10
1003,13,12,917,10
1004,14,10,918,9
1005,14,12,919,9
1006,14,11,920,9
1007,15,12,921,11
1008,15,11,922,11
1009,15,10,923,11
1010,16,12,924,12
1011,16,10,925,12
1012,16,11,926,12
1013,17,10,927,12
1014,17,12,928,12
1015,17,11,929,12
1016,18,10,930,9
1017,18,11,931,9
1018,18,12,932,9
1019,19,11,933,13
1020,19,12,934,13
1021,19,10,935,13
1022,20,11,936,14
1023,20,12,937,14
1024,20,10,938,14
1025,105,11,939,1
1026,105,10,940,1
1027,105,12,941,1
1028,21,10,942,1
1029,21,11,943,1
1030,21,12,944,1
1031,22,11,945,6
1032,22,12,946,6
1033,22,10,947,6
1034,23,12,948,13
1035,23,10,949,13
1036,23,11,950,13
1037,24,12,951,7
1038,24,11,952,7
1039,24,10,953,7
1040,26,10,954,15
1041,26,12,955,15
1042,26,11,956,15
1043,27,11,957,14
1044,27,12,958,14
1045,27,10,959,14
1046,28,12,960,16
1047,28,10,961,16
1048,28,11,962,16
1049,29,10,963,12
1050,29,11,964,12
1051,29,12,965,12
1052,30,12,966,5
1053,30,11,967,5
1054,30,10,968,5
1055,31,10,969,12
1056,31,11,970,12
1057,31,12,971,12
1058,32,10,972,12
1059,32,12,973,12
1060,32,11,974,12
1061,33,10,975,12
1062,33,11,976,12
1063,33,12,977,12
1064,34,12,978,15
1065,34,10,979,15
1066,34,11,980,15
1067,35,11,981,6
1068,35,12,982,6
1069,35,10,983,6
1070,36,11,984,10
1071,36,10,985,10
1072,36,12,986,10
1073,37,12,987,10
1074,37,10,988,10
1075,37,11,989,10
1076,38,12,990,12
1077,38,10,991,12
1078,38,11,992,12
1079,39,10,993,13
1080,39,12,994,13
1081,39,11,995,13
1082,40,11,996,15
1083,40,10,997,15
1084,40,12,955,15
1085,41,12,998,12
1086,41,10,999,12
1087,41,11,1000,12
1088,42,11,1001,12
1089,42,10,1002,12
1090,42,12,1003,12
1091,43,12,1004,11
1092,43,11,1005,11
1093,43,10,1006,11
1094,44,12,1007,12
1095,44,11,1008,12
1096,44,10,1009,12
1097,45,10,1010,3
1098,45,12,1011,3
1099,45,11,1012,3
1100,46,10,1013,17
1101,46,12,1014,17
1102,46,11,1015,17
1103,47,12,1016,10
1104,47,10,1017,10
1105,47,11,1018,10
1106,48,10,1019,7
1107,48,11,1020,7
1108,48,12,1021,7
1109,49,12,1022,8
1110,49,11,1023,8
1111,49,10,1024,8
1112,50,10,1025,1
1113,50,11,1026,1
1114,50,12,1027,1
1115,51,10,1028,12
1116,51,12,1029,12
1117,51,11,1030,12
1118,52,10,1031,10
1119,52,11,1032,10
1120,52,12,1033,10
1121,53,12,1034,14
1122,53,10,1035,14
1123,53,11,1036,14
1124,54,12,1037,10
1125,54,10,1038,10
1126,54,11,1039,10
1127,55,10,1040,17
1128,55,12,1041,17
1129,55,11,1042,17
1130,56,11,1043,10
1131,56,10,1044,10
1132,56,12,1045,10
1133,57,12,1046,3
1134,57,11,1047,3
1135,57,10,1048,3
1136,58,10,1049,11
1137,58,12,1050,11
1138,58,11,1051,11
1139,59,12,1052,1
1140,59,11,1053,1
1141,59,10,1054,1
1142,60,11,1055,1
1143,60,12,1056,1
1144,60,10,1057,1
1145,61,10,1058,10
1146,61,12,1059,10
1147,61,11,1060,10
1148,62,12,1061,10
1149,62,11,1062,10
1150,62,10,1063,10
1151,63,12,1064,17
1152,63,11,1065,17
1153,63,10,1066,17
1154,64,10,1067,7
1155,64,12,1067,7
1156,64,11,1067,7
1157,65,10,1068,3
1158,65,11,1069,3
1159,65,12,1070,3
1160,66,11,1071,17
1161,66,10,1072,17
1162,66,12,1073,17
1163,67,12,1074,15
1164,67,10,1075,15
1165,67,11,1076,15
1166,68,10,1077,6
1167,68,12,1078,6
1168,68,11,1079,6
1169,69,12,1080,10
1170,69,11,1081,10
1171,69,10,1082,10
1172,70,10,1083,7
1173,70,12,1084,7
1174,70,11,1085,7
1175,71,11,1086,8
1176,71,10,1087,8
1177,71,12,1088,8
1178,72,11,1089,17
1179,72,10,1090,17
1180,72,12,1091,17
1181,73,10,1092,14
1182,73,12,1093,14
1183,73,11,1094,14
1184,74,11,1095,6
1185,74,12,1096,6
1186,74,10,1097,6
1187,75,12,1098,14
1188,75,10,1099,14
1189,75,11,1100,14
1190,76,12,1101,6
1191,76,10,1102,6
1192,76,11,1103,6
1193,77,10,1104,6
1194,77,12,1105,6
1195,77,11,1106,6
1196,78,10,1107,13
1197,78,11,1108,13
1198,78,12,1109,13
1199,79,10,1110,6
1200,79,12,1111,6
1201,79,11,1112,6
1202,80,11,1113,12
1203,80,10,1114,12
1204,80,12,1115,12
1205,81,11,1116,14
1206,81,10,1117,14
1207,81,12,1118,14
1208,82,12,1119,12
1209,82,11,1120,12
1210,82,10,1121,12
1211,83,12,1122,14
1212,83,11,1123,14
1213,83,10,1124,14
1214,84,12,275,15
1215,84,10,1125,15
1216,84,11,1126,15
1217,85,12,1127,9
1218,85,10,930,9
1219,85,11,1128,9
1220,86,11,1129,12
1221,86,10,1130,12
1222,86,12,1131,12
1223,87,11,1132,12
1224,87,12,1133,12
1225,87,10,929,12
1226,88,10,1134,10
1227,88,12,1135,10
1228,88,11,1038,10
1229,89,12,1136,14
1230,89,11,1137,14
1231,89,10,1138,14
1232,90,11,1139,3
1233,90,12,1140,3
1234,90,10,1141,3
1235,91,10,1142,18
1236,91,10,1143,15
1237,91,11,1144,18
1238,91,11,1145,15
1239,91,12,1146,18
1240,91,12,1147,15
1241,92,12,1148,16
1242,92,11,1149,16
1243,92,10,1150,16
1244,93,10,1151,10
1245,93,11,1152,10
1246,93,12,1153,10
1247,94,10,1154,3
1248,94,11,558,3
1249,94,12,1155,3
1250,95,10,1156,15
1251,95,11,1157,15
1252,95,12,1158,15
1253,96,11,1159,6
1254,96,10,1160,6
1255,96,12,1161,6
1256,97,11,1162,3
1257,97,12,1163,3
1258,97,10,1164,3
1259,98,11,1165,2
1260,98,12,1166,2
1261,98,10,1167,2
1262,99,11,1168,12
1263,99,10,1169,12
1264,99,12,1170,12
1265,100,11,1171,17
1266,100,10,1172,17
1267,100,12,1173,17
1268,101,10,1174,16
1269,101,11,1175,16
1270,101,12,1176,16
1271,102,12,1177,5
1272,102,11,1178,5
1273,102,10,1179,5
1274,1,13,1180,1
1275,1,14,1181,1
1276,1,15,1182,1
1277,118,15,1183,8
1278,118,13,1184,8
1279,118,14,1185,8
1280,2,13,1186,2
1281,2,15,1187,2
1282,2,14,1188,2
1283,3,14,1189,3
1284,3,13,1190,3
1285,3,15,1191,3
1286,4,15,1192,4
1287,4,13,1193,4
1288,4,14,1194,4
1289,5,13,1195,3
1290,5,14,1196,3
1291,5,15,1197,3
1292,6,14,1198,5
1293,6,13,1199,5
1294,6,15,1200,5
1295,7,14,1201,6
1296,7,15,1202,6
1297,7,13,1201,6
1298,8,13,1203,6
1299,8,15,1203,6
1300,8,14,1204,6
1301,9,14,1205,3
1302,9,15,1206,3
1303,9,13,1207,3
1304,10,14,1208,8
1305,10,13,1209,8
1306,10,15,1210,8
1307,11,15,1211,9
1308,11,14,1212,9
1309,11,13,1213,9
1310,12,14,1214,4
1311,12,15,1215,4
1312,12,13,1214,4
1313,104,13,1216,14
1314,104,14,1216,14
1315,104,15,1217,14
1316,13,14,1218,10
1317,13,13,1219,10
1318,13,15,1220,10
1319,14,13,1221,9
1320,14,15,1222,9
1321,14,14,1223,9
1322,15,15,1224,11
1323,15,14,1225,11
1324,15,13,1226,11
1325,16,15,1227,12
1326,16,13,1228,12
1327,16,14,1229,12
1328,17,13,1230,12
1329,17,15,1231,12
1330,17,14,1232,12
1331,18,13,1233,9
1332,18,14,1234,9
1333,18,15,1235,9
1334,19,14,1236,13
1335,19,15,1237,13
1336,19,13,1238,13
